                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1561,                 1.3256,                 1.1681,                0.89264,                0.79645,                0.88691,                0.60217,                  1.076,                0.76857,                 1.0545,              0.0033327,              0.0033327,              0.0033327
                      2,                 1.1703,                0.95916,                 1.1602,                0.89666,                0.80777,                0.89556,                0.61739,                 1.0605,                 0.6986,                  1.063,              0.0066001,              0.0066001,              0.0066001
                      3,                 1.2155,                0.98372,                 1.1939,                0.90033,                0.81114,                0.89811,                0.62363,                 1.0556,                0.67601,                 1.0699,              0.0098014,              0.0098014,              0.0098014
                      4,                 1.2083,                 0.9522,                 1.1919,                0.91436,                0.83377,                0.91457,                0.64843,                 1.0214,                0.60828,                 1.0515,               0.009703,               0.009703,               0.009703
                      5,                 1.1619,                0.87132,                 1.1631,                0.92321,                0.84843,                0.92525,                0.66596,                0.99491,                0.56924,                 1.0348,               0.009604,               0.009604,               0.009604
                      6,                 1.1362,                0.82729,                 1.1483,                 0.9278,                0.85784,                0.93152,                0.67506,                0.98111,                 0.5434,                 1.0239,               0.009505,               0.009505,               0.009505
                      7,                 1.1185,                0.80053,                 1.1396,                0.93245,                0.86372,                0.93563,                0.68181,                0.97033,                0.52656,                 1.0184,               0.009406,               0.009406,               0.009406
                      8,                 1.1083,                0.78097,                 1.1302,                0.93426,                0.86984,                0.93877,                0.68635,                  0.964,                0.51373,                 1.0132,               0.009307,               0.009307,               0.009307
                      9,                 1.0993,                0.76519,                 1.1262,                0.93642,                0.87186,                0.94072,                0.68958,                0.95907,                0.50654,                 1.0099,               0.009208,               0.009208,               0.009208
                     10,                 1.0928,                0.75367,                 1.1228,                0.93781,                 0.8734,                0.94223,                0.69167,                0.95529,                0.50169,                 1.0078,               0.009109,               0.009109,               0.009109
                     11,                 1.0861,                0.74472,                 1.1174,                0.93858,                0.87455,                0.94305,                0.69351,                0.95212,                0.49809,                 1.0056,                0.00901,                0.00901,                0.00901
                     12,                 1.0833,                0.73894,                 1.1168,                0.93964,                0.87541,                0.94388,                  0.695,                0.94971,                0.49519,                 1.0041,               0.008911,               0.008911,               0.008911
                     13,                 1.0766,                0.72774,                 1.1127,                0.93993,                0.87654,                0.94468,                0.69625,                0.94746,                0.49256,                 1.0027,               0.008812,               0.008812,               0.008812
                     14,                  1.072,                0.72591,                 1.1092,                0.94039,                0.87727,                0.94518,                0.69728,                0.94545,                0.49035,                 1.0014,               0.008713,               0.008713,               0.008713
                     15,                 1.0704,                0.72037,                 1.1083,                 0.9408,                0.87835,                0.94571,                0.69834,                0.94343,                0.48822,                 1.0001,               0.008614,               0.008614,               0.008614
                     16,                 1.0704,                0.71597,                 1.1081,                0.94066,                0.87943,                 0.9463,                0.69942,                0.94141,                0.48605,                0.99869,               0.008515,               0.008515,               0.008515
                     17,                 1.0672,                 0.7126,                 1.1062,                0.94072,                  0.881,                0.94703,                0.70046,                0.93969,                0.48374,                0.99748,               0.008416,               0.008416,               0.008416
                     18,                 1.0618,                0.70527,                 1.1043,                0.94277,                0.88043,                0.94778,                0.70161,                0.93814,                0.48128,                0.99652,               0.008317,               0.008317,               0.008317
                     19,                 1.0623,                0.70346,                 1.1046,                 0.9432,                0.88137,                0.94826,                0.70265,                0.93644,                 0.4789,                0.99567,               0.008218,               0.008218,               0.008218
                     20,                 1.0599,                0.70211,                 1.1036,                 0.9434,                0.88265,                0.94898,                0.70371,                0.93501,                0.47659,                0.99479,               0.008119,               0.008119,               0.008119
                     21,                 1.0565,                 0.6982,                 1.1017,                0.94404,                0.88342,                0.94947,                0.70468,                0.93364,                0.47434,                0.99388,                0.00802,                0.00802,                0.00802
                     22,                 1.0558,                0.69647,                 1.1004,                0.94377,                0.88496,                0.94995,                0.70565,                 0.9323,                0.47188,                0.99302,               0.007921,               0.007921,               0.007921
                     23,                  1.055,                0.69388,                 1.0995,                 0.9436,                0.88688,                0.95055,                0.70653,                0.93122,                0.46971,                0.99204,               0.007822,               0.007822,               0.007822
                     24,                 1.0509,                0.68721,                  1.097,                 0.9442,                0.88781,                0.95119,                0.70767,                0.92989,                0.46727,                0.99096,               0.007723,               0.007723,               0.007723
                     25,                 1.0513,                0.68773,                 1.0968,                0.94482,                0.88845,                0.95166,                0.70857,                0.92864,                0.46483,                0.98995,               0.007624,               0.007624,               0.007624
